Simulation Total Time;7886313
Total Number of Sensed Events by the WSN: 354472
Total Number of Sensed Events by the Drone: 354472
Number of Sensed Events by the Drone per Day
eboracum.wsn.network.node.sensor.MuleWSNNode;Node38;0;364905;39923;0;6663;7556899.999997;87 days 11:9:49
eboracum.wsn.network.node.sensor.MuleWSNNode;Node39;0;207008;33535;0;6749;7607316.666666;88 days 1:9:51
eboracum.wsn.network.node.sensor.MuleWSNNode;Node40;0;133034;33335;0;6692;7551316.666666;87 days 9:37:52
eboracum.wsn.network.node.sensor.MuleWSNNode;Node41;0;211566;33388;0;6736;7610813.333333;88 days 2:8:35
eboracum.wsn.network.node.sensor.MuleWSNNode;Node42;0;373125;40025;0;6731;7545236.666664;87 days 7:55:22
eboracum.wsn.network.node.sensor.MuleWSNNode;Node43;0;422622;39392;0;6626;7568006.666664;87 days 14:14:40
eboracum.wsn.network.node.sensor.MuleWSNNode;Node44;0;316457;31483;0;6214;7711643.333331;89 days 6:8:13
eboracum.wsn.network.node.sensor.MuleWSNNode;Node45;0;318407;31850;0;6369;7683689.999997;88 days 22:21:54
eboracum.wsn.network.node.sensor.MuleWSNNode;Node46;0;411569;39317;0;6583;7575493.333331;87 days 16:19:29
eboracum.wsn.network.node.sensor.MuleWSNNode;Node47;0;365818;39906;0;6636;7561299.999998;87 days 12:21:50
eboracum.wsn.network.node.sensor.MuleWSNNode;Node48;0;252540;39970;0;6698;7550946.666667;87 days 9:29:24
eboracum.wsn.network.node.sensor.MuleWSNNode;Node49;0;211379;33312;0;6649;7625203.333333;88 days 6:7:50
eboracum.wsn.network.node.sensor.MuleWSNNode;Node50;0;256138;39946;0;6613;7564513.333334;87 days 13:17:8
eboracum.wsn.network.node.sensor.MuleWSNNode;Node51;0;383627;39987;0;6613;7564103.333331;87 days 13:8:24
eboracum.wsn.network.node.sensor.MuleWSNNode;Node52;0;426997;39102;0;6589;7576703.333331;87 days 16:38:37
eboracum.wsn.network.node.sensor.MuleWSNNode;Node53;0;323398;31293;0;6107;7730306.666664;89 days 11:18:45
eboracum.wsn.network.node.sensor.MuleWSNNode;Node54;0;318258;31960;0;6303;7692939.999997;89 days 0:56:48
eboracum.wsn.network.node.sensor.MuleWSNNode;Node55;0;413896;39550;0;6696;7555459.999997;87 days 10:44:30
eboracum.wsn.network.node.sensor.MuleWSNNode;Node56;0;425622;40092;0;6704;7548786.666665;87 days 8:53:28
eboracum.wsn.network.node.sensor.MuleWSNNode;Node57;0;382225;40098;0;6667;7554523.33333;87 days 10:30:32
eboracum.wsn.network.node.sensor.MuleWSNNode;Node58;0;372518;39978;0;6702;7550239.999997;87 days 9:19:2
eboracum.wsn.network.node.sensor.MuleWSNNode;Node59;0;371230;40328;0;6808;7530133.333331;87 days 3:42:51
eboracum.wsn.network.node.sensor.MuleWSNNode;Node60;0;427518;40378;0;6837;7525089.999998;87 days 2:18:37
eboracum.wsn.network.node.sensor.MuleWSNNode;Node61;0;423231;39582;0;6688;7556393.333331;87 days 11:0:56
eboracum.wsn.network.node.sensor.MuleWSNNode;Node62;0;324393;31565;0;6276;7701109.999998;89 days 3:13:5
eboracum.wsn.network.node.sensor.MuleWSNNode;Node63;0;310299;31222;0;6294;7701719.999997;89 days 3:22:19
eboracum.wsn.network.node.sensor.MuleWSNNode;Node64;0;412056;39046;0;6697;7560343.333332;87 days 12:6:22
eboracum.wsn.network.node.sensor.MuleWSNNode;Node65;0;424055;39581;0;6710;7552956.666664;87 days 10:2:43
eboracum.wsn.network.node.sensor.MuleWSNNode;Node66;0;426736;39223;0;6666;7563429.999997;87 days 12:57:23
eboracum.wsn.network.node.sensor.MuleWSNNode;Node67;0;423225;39307;0;6538;7582653.33333;87 days 18:18:11
eboracum.wsn.network.node.sensor.MuleWSNNode;Node68;0;413899;39433;0;6636;7566029.999997;87 days 13:40:39
eboracum.wsn.network.node.sensor.MuleWSNNode;Node69;0;412473;39621;0;6690;7555689.999997;87 days 10:48:14
eboracum.wsn.network.node.sensor.MuleWSNNode;Node70;0;410724;38912;0;6651;7568889.999998;87 days 14:28:30
eboracum.wsn.network.node.sensor.MuleWSNNode;Node71;0;314086;31160;0;6247;7709713.333331;89 days 5:35:14
eboracum.wsn.network.node.sensor.MuleWSNNode;Node72;0;228275;23962;0;5735;7861896.666664;90 days 23:53:28
eboracum.wsn.network.node.sensor.MuleWSNNode;Node73;0;315823;30979;0;6198;7719189.999997;
eboracum.wsn.network.node.sensor.MuleWSNNode;Node74;0;325832;31494;0;6236;7708096.666664;89 days 5:8:25
eboracum.wsn.network.node.sensor.MuleWSNNode;Node75;0;324080;31530;0;6143;7722296.666664;89 days 9:6:43
eboracum.wsn.network.node.sensor.MuleWSNNode;Node76;0;316783;31576;0;6340;7690983.333331;89 days 0:23:47
eboracum.wsn.network.node.sensor.MuleWSNNode;Node77;0;316433;31737;0;6253;7702993.333331;89 days 3:43:56
eboracum.wsn.network.node.sensor.MuleWSNNode;Node78;0;317180;31665;0;6254;7703566.666664;89 days 3:53:23
eboracum.wsn.network.node.sensor.MuleWSNNode;Node79;0;309038;31093;0;6222;7714299.999998;89 days 6:52:3
eboracum.wsn.network.node.sensor.MuleWSNNode;Node80;0;226560;24159;0;5844;7842849.999998;90 days 18:35:49
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
