Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death; Lifetime
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node0;0;103787;36698;0;8545;7208852.037333;83 days 10:28:35
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node1;0;181442;75633;0;6550;7152001.083333;82 days 18:40:7
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node2;0;338076;114241;1;1075;7678421.669333;88 days 20:56:48
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node3;0;219616;224910;0;5296;5868231.547333;67 days 22:4:47
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node4;0;329287;110880;0;6504;6807197.858;78 days 18:54:19
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node5;0;184379;77856;1;4358;7495104.668666;86 days 17:58:55
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node6;0;111028;38632;0;5460;7703678.426;89 days 4:0:0
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node7;0;93415;29670;0;6976;7540630.975333;87 days 6:37:11
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node8;0;176488;35863;1;2211;8272867.616;
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node9;0;214857;37533;0;7395;7392166.83;85 days 13:23:53
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node10;0;327454;37255;0;7578;7364446.94;85 days 5:40:56
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node11;0;215864;36710;1;4825;7828730.259333;90 days 14:40:55
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node12;0;176305;35844;1;6423;7571056.806;87 days 15:7:7
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node13;0;101269;33172;0;6238;7628611.117333;88 days 7:4:37
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node14;0;86056;24889;1;2155;8391941.423333;97 days 3:5:49
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node15;0;112240;33652;0;7619;7393643.406666;85 days 13:48:9
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node16;0;123869;30328;0;7591;7431550.059333;86 days 0:20:34
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node17;0;125584;30994;1;4878;7877056.632;91 days 4:4:41
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node18;0;120701;31885;0;6789;7549646.446;87 days 9:10:10
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node19;0;116557;29422;0;7105;7521609.965333;87 days 1:20:18
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node20;0;85375;27630;1;4849;7915531.027333;91 days 14:51:10
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node21;0;65724;22734;0;6500;7689324.364666;88 days 23:55:34
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node22;0;96827;26190;0;7849;7429930.031333;85 days 23:52:25
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node23;0;101707;24185;1;5112;7906146.546;91 days 12:10:14
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node24;0;96257;26116;0;7742;7448503.000666;
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node25;0;97529;25096;0;7686;7468036.45;86 days 10:34:18
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node26;0;95468;23343;1;5174;7904233.432666;91 days 11:37:33
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node27;0;66542;22781;1;6369;7710687.472;89 days 5:52:3
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node28;0;51033;16257;0;6838;7697760.801333;89 days 2:20:0
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node29;0;76068;19556;1;5008;7969770.059333;92 days 5:50:47
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node30;0;71479;19073;0;7775;7513432.948666;86 days 23:5:26
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node31;0;73458;18552;1;7717;7528309.707333;87 days 3:12:25
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node32;0;75348;18456;1;4925;7994603.246666;92 days 12:52:24
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node33;0;68904;18169;0;6502;7734639.849333;89 days 12:32:25
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node34;0;50883;16478;0;6546;7744217.586;89 days 15:11:25
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node35;0;36637;10419;1;4587;8131307.818;94 days 2:49:42
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node36;0;46199;14548;0;7649;7579683.234666;87 days 17:28:55
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node37;0;48106;11361;1;7783;7589219.823333;87 days 20:16:7
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node38;0;50395;11891;0;4940;8057753.394666;93 days 6:20:0
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node39;0;47240;13531;0;6881;7717853.134666;89 days 7:52:30
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node40;0;45431;11667;0;7432;7644660.061333;88 days 11:33:54
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node41;0;33757;10569;1;4957;8068141.161333;93 days 9:10:36
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node42;0;17093;5832;0;5832;7969678.292;92 days 5:50:47
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node43;0;24078;7045;0;7045;7755381.001333;89 days 18:16:33
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node44;0;25357;4619;0;4619;8183974.276666;94 days 17:20:0
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node45;0;21604;6951;0;6951;7771987.382;89 days 22:53:20
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node46;0;24847;6711;1;6711;7814387.588;90 days 10:44:49
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node47;0;23990;4935;1;4935;8128147.79;94 days 1:56:14
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node48;0;15166;5612;0;5612;8008544.954666;92 days 16:35:50
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;391907;0
Time that first node die: Node3 67 days 22:4:47
Simulation Total Time;6707448
Total Number of Sensed Events by the WSN: 164747
Number of Sensed Events by the WSN per Day
1;4039
2;4116
3;4046
4;4045
5;4011
6;4025
7;4035
8;4121
9;4062
10;4053
11;4086
12;4012
13;4071
14;3974
15;4094
16;4065
17;4067
18;4062
19;3957
20;4030
21;4036
22;4013
23;4109
24;4037
25;4017
26;4075
27;4045
28;4092
29;4016
30;3969
31;3988
32;4049
33;3990
34;4015
35;4042
36;4013
37;4016
38;4021
39;3968
40;4062
41;3203
Nodes
