Simulation Total Time;7982190
Total Number of Sensed Events by the WSN: 362133
Total Number of Sensed Events by the Drone: 362133
Number of Sensed Events by the Drone per Day
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;372622;0
Time that first node die: Node64 89 days 9:32:42
Simulation Total Time;7958322
Total Number of Sensed Events by the WSN: 361384
Total Number of Sensed Events by the Drone: 361384
Number of Sensed Events by the Drone per Day
1;4090
2;3974
3;3909
4;4011
5;3951
6;4050
7;4074
8;3998
9;4008
10;4042
11;4056
12;4007
13;3980
14;4061
15;4047
16;3985
17;3921
18;4017
19;4037
20;4018
21;4042
22;4038
23;3977
24;4013
25;3982
26;4061
27;4026
28;3925
29;4065
30;4026
31;3968
32;3998
33;4050
34;3964
35;3991
36;4020
37;3944
38;4060
39;3987
40;4005
41;4078
42;3951
43;3971
44;3951
45;3966
46;3975
47;4021
48;3959
49;3927
50;3997
51;4011
52;3967
53;4006
54;4002
55;3970
56;4040
57;3967
58;3999
59;4002
60;4049
61;3973
62;4021
63;4102
64;3952
65;4030
66;3939
67;4014
68;4002
69;3973
70;4023
71;3966
72;4054
73;3998
74;4048
75;3969
76;3954
77;3914
78;4008
79;3959
80;3968
81;4048
82;4086
83;3976
84;3951
85;3980
86;3986
87;4015
88;3965
89;3976
90;3380
91;1642
92;310
93;15
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death; Lifetime
eboracum.wsn.network.node.sensor.MuleWSNNode;Node0;0;280773;24437;0;5879;7958306.666665;92 days 2:38:42
eboracum.wsn.network.node.sensor.MuleWSNNode;Node1;0;366644;31521;0;6300;7865929.999997;91 days 0:59:21
eboracum.wsn.network.node.sensor.MuleWSNNode;Node2;0;325490;32107;0;6242;7873449.999998;91 days 3:5:47
eboracum.wsn.network.node.sensor.MuleWSNNode;Node3;0;320696;32273;0;6415;7844639.999998;90 days 19:4:57
eboracum.wsn.network.node.sensor.MuleWSNNode;Node4;0;321922;32279;0;6377;7850826.666664;90 days 20:47:8
eboracum.wsn.network.node.sensor.MuleWSNNode;Node5;0;329827;32196;1;6304;7863026.666664;91 days 0:11:58
eboracum.wsn.network.node.sensor.MuleWSNNode;Node6;0;331389;32380;0;6389;7848529.999997;90 days 20:9:55
eboracum.wsn.network.node.sensor.MuleWSNNode;Node7;0;320691;31894;0;6416;7845739.999997;90 days 19:23:43
eboracum.wsn.network.node.sensor.MuleWSNNode;Node8;0;230402;24408;0;5897;7955463.333331;92 days 1:51:56
eboracum.wsn.network.node.sensor.MuleWSNNode;Node9;0;372532;31803;0;6379;7852086.666663;90 days 21:8:17
eboracum.wsn.network.node.sensor.MuleWSNNode;Node10;0;429175;40048;0;6860;7746039.999997;89 days 15:40:58
eboracum.wsn.network.node.sensor.MuleWSNNode;Node11;0;432450;40561;0;6908;7736489.999998;89 days 13:2:33
eboracum.wsn.network.node.sensor.MuleWSNNode;Node12;0;425792;40564;0;6848;7746279.999998;89 days 15:45:17
