Simulation Total Time;4215587
Total Number of Sensed Events by the Drone: 1274296
Number of Sensed Events by the Drone per Day
1;40591
2;40604
3;40749
4;40572
5;40758
6;40775
7;41026
8;40876
9;40988
10;40672
11;40521
12;40682
13;40732
14;40893
15;40862
16;40927
17;40955
18;40909
19;40893
20;40894
21;40656
22;40808
23;40729
24;40783
25;40453
26;40742
27;40958
28;40940
29;40911
30;40658
31;40580
32;10199
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death; Lifetime; Battery spent with drone
eboracum.wsn.network.node.sensor.UAVWSNNode;Node55;0;641690;129585;1;25905;3386649.999992;39 days 4:44:31;61998.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node56;0;648390;129815;1;26061;3358349.999992;38 days 20:52:32;63084.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node57;0;657009;129977;0;25961;3373396.666658;39 days 1:4:50;62322.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node58;0;619555;127458;1;25956;3399419.999991;39 days 8:19:20;62142.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node59;0;413395;100905;0;25463;3747116.666662;43 days 8:52:29;55122.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node60;0;348245;100592;0;25390;3762413.333331;43 days 13:7:46;54570.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node61;0;551829;127198;1;26052;3386019.999995;39 days 4:34:47;62202.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node62;0;618092;129860;0;25960;3374733.333327;39 days 1:26:30;62124.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node63;0;635804;129674;1;25939;3380093.333325;39 days 2:57:24;62079.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node64;0;635503;129339;0;26001;3373109.999992;39 days 0:58:48;62142.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node65;0;640343;129386;0;26000;3372806.666658;39 days 0:53:54;62226.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node66;0;646960;129460;1;25888;3390733.333325;39 days 5:52:34;61698.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node67;0;652921;129291;0;25894;3391423.333325;39 days 6:5:33;61782.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node68;0;620456;126977;1;26026;3392563.333325;39 days 6:23:13;62598.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node69;0;409032;101020;0;25396;3757133.333329;43 days 11:44:11;54537.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node70;0;346539;100748;0;25352;3767186.666664;43 days 14:27:14;54687.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node71;0;548768;127535;0;26066;3380316.666662;39 days 2:59:18;62628.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node72;0;609368;130239;0;26031;3359109.999994;38 days 21:5:30;62934.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node73;0;636189;129723;0;25973;3373936.666659;39 days 1:12:26;62313.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node74;0;632412;129256;1;25879;3394273.333325;39 days 6:53:32;61629.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node75;0;639983;129213;1;25964;3380536.666658;39 days 3:3:30;62094.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node76;0;647591;128914;0;25922;3390526.666658;39 days 5:49:24;61926.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node77;0;646516;129119;1;25912;3390143.333325;39 days 5:42:29;61791.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node78;0;622283;126809;1;25962;3404909.999991;39 days 9:48:51;61794.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node79;0;403089;100463;0;25375;3766203.333329;43 days 14:14:36;54615.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node80;0;328791;97892;1;25387;3789913.333331;43 days 20:45:16;54303.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node81;0;520194;124723;0;26095;3403603.333329;39 days 9:27:52;61956.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node82;0;581279;127668;0;26124;3369319.999994;38 days 23:56:7;62625.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node83;0;637285;127184;0;26033;3389326.666658;39 days 5:29:14;62295.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node84;0;607093;126647;1;25984;3402863.333326;39 days 9:15:5;61953.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node85;0;641102;126609;1;25978;3404243.333325;39 days 9:38:4;61872.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node86;0;616715;126338;0;25899;3420119.999992;39 days 14:2:2;61467.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node87;0;642062;126642;0;26050;3391913.333325;39 days 6:11:56;62328.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node88;0;595513;124385;0;26074;3410483.333325;39 days 11:21:46;61743.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node89;0;365651;97956;0;25365;3792939.999996;43 days 21:35:51;54318.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node90;0;224266;75966;1;24218;4204006.666666;48 days 15:49:7;46569.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node91;0;343263;97953;1;25380;3790469.999998;43 days 20:54:54;54372.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node92;0;404925;100818;1;25456;3749153.33333;43 days 9:27:56;54822.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node93;0;423333;100512;1;25304;3777546.666662;43 days 17:20:22;54267.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node94;0;426067;100299;0;25310;3778676.666663;43 days 17:41:45;54240.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node95;0;424984;100179;1;25398;3765209.999996;43 days 13:53:30;54507.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node96;0;425728;99956;1;25241;3793606.666663;43 days 21:48:20;53724.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node97;0;426635;100451;1;25368;3767489.999996;43 days 14:32:16;54447.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node98;0;393781;98165;0;25486;3770683.333329;43 days 15:24:55;54750.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node99;0;229442;76355;1;24300;4186449.999999;48 days 10:57:12;47097.0
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;1979188;0
Time that first node die: Node35 38 days 20:49:25
Total battery spent with drone: 5895240.0
Simulation Total Time;4226008
Total Number of Sensed Events by the Drone: 1277998
Number of Sensed Events by the Drone per Day
1;40448
2;40747
3;40585
4;40724
5;40758
6;40548
7;40649
8;40799
9;40752
10;40930
11;40711
12;40899
13;40839
14;41171
15;41076
16;41098
17;40963
18;40982
19;40896
20;40956
21;41170
22;41077
23;40785
24;41098
25;41062
26;41095
27;41018
28;41112
29;41052
30;40894
31;40842
32;10262
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death; Lifetime; Battery spent with drone
eboracum.wsn.network.node.sensor.UAVWSNNode;Node0;0;197920;71497;1;24355;4225863.333332;48 days 21:53:28;32679.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node1;0;363088;93798;1;25614;3793019.999997;43 days 21:38:31;54723.0
