Simulation Total Time;8908752
Total Number of Sensed Events by the WSN: 576507
Total Number of Sensed Events by the Drone: 252524
Number of Sensed Events by the Drone per Day
18;4011
19;3991
20;4026
21;4073
22;3976
23;4004
24;4099
25;4058
26;4046
27;4008
28;4039
29;4001
30;4070
31;3977
32;3989
33;4067
34;4021
35;3991
36;4032
37;4074
38;4065
39;3667
40;3561
41;3592
42;3568
43;3589
44;3618
45;3617
46;3128
47;2367
48;2444
49;2405
50;2343
51;2410
52;2445
53;2409
54;2411
55;2406
56;2393
57;2348
58;2428
59;2392
60;2355
61;2384
62;1990
63;2033
64;2099
65;2041
66;2092
67;2012
68;2057
69;1066
70;865
71;862
72;877
73;889
74;914
75;881
76;875
77;839
78;861
79;888
80;901
81;839
82;855
83;857
84;843
85;877
86;747
87;608
88;627
89;657
90;579
91;539
92;516
93;516
94;165
95;175
96;156
97;186
98;157
99;163
100;64
101;15
102;22
103;18
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death; Lifetime
eboracum.wsn.network.node.sensor.MuleWSNNode;Node0;0;610532;5387;0;494;8901356.666657;103 days 0:36:34
eboracum.wsn.network.node.sensor.MuleWSNNode;Node1;0;859610;18787;0;2178;8581636.666654;99 days 7:47:21
eboracum.wsn.network.node.sensor.MuleWSNNode;Node2;0;754917;36380;0;5215;8026953.333323;92 days 21:42:58
eboracum.wsn.network.node.sensor.MuleWSNNode;Node3;0;749362;44166;0;6732;7753219.99999;89 days 17:41:28
eboracum.wsn.network.node.sensor.MuleWSNNode;Node4;0;768189;36236;1;5173;8034289.99999;92 days 23:44:59
eboracum.wsn.network.node.sensor.MuleWSNNode;Node5;0;833274;18687;0;2217;8575599.999988;99 days 6:7:11
eboracum.wsn.network.node.sensor.MuleWSNNode;Node6;0;632959;5315;0;466;8906169.99999;103 days 1:56:30
eboracum.wsn.network.node.sensor.MuleWSNNode;Node7;0;808188;18821;0;2221;8574499.999988;99 days 5:48:35
eboracum.wsn.network.node.sensor.MuleWSNNode;Node8;0;1125845;55478;0;8738;7387866.666651;85 days 12:11:11
eboracum.wsn.network.node.sensor.MuleWSNNode;Node9;0;811274;93855;0;17191;5879286.666657;68 days 1:8:25
eboracum.wsn.network.node.sensor.MuleWSNNode;Node10;0;960716;108020;0;20680;5262199.999989;60 days 21:43:22
eboracum.wsn.network.node.sensor.MuleWSNNode;Node11;0;814773;93523;1;17077;5899016.666658;68 days 6:37:34
eboracum.wsn.network.node.sensor.MuleWSNNode;Node12;0;1114547;55239;0;8634;7405649.999985;85 days 17:8:7
eboracum.wsn.network.node.sensor.MuleWSNNode;Node13;0;821346;18558;0;2166;8584359.999987;99 days 8:33:21
eboracum.wsn.network.node.sensor.MuleWSNNode;Node14;0;769759;36198;0;5164;8035886.666656;
eboracum.wsn.network.node.sensor.MuleWSNNode;Node15;0;860549;93425;0;17062;5901789.999991;
eboracum.wsn.network.node.sensor.MuleWSNNode;Node16;0;735765;142034;0;28049;3945223.333327;
eboracum.wsn.network.node.sensor.MuleWSNNode;Node17;0;688628;158206;0;31562;3317519.999995;38 days 9:33:2
eboracum.wsn.network.node.sensor.MuleWSNNode;Node18;0;690808;142202;0;28033;3947269.999994;45 days 16:28:33
eboracum.wsn.network.node.sensor.MuleWSNNode;Node19;0;802722;93626;0;17126;5890666.666658;68 days 4:18:16
eboracum.wsn.network.node.sensor.MuleWSNNode;Node20;0;758555;36120;0;5143;8039579.99999;93 days 1:13:42
eboracum.wsn.network.node.sensor.MuleWSNNode;Node21;0;762074;43905;0;6716;7756703.333323;89 days 18:38:55
eboracum.wsn.network.node.sensor.MuleWSNNode;Node22;0;913214;107782;0;20514;5290109.999989;61 days 5:28:40
eboracum.wsn.network.node.sensor.MuleWSNNode;Node23;0;661946;158010;0;31574;3316216.666663;38 days 9:10:18
eboracum.wsn.network.node.sensor.MuleWSNNode;Node24;0;691004;173764;0;34879;2723883.333328;31 days 12:38:23
eboracum.wsn.network.node.sensor.MuleWSNNode;Node25;0;647907;158036;0;31642;3305016.666663;
eboracum.wsn.network.node.sensor.MuleWSNNode;Node26;0;907479;108287;0;20702;5257719.999989;60 days 20:29:11
eboracum.wsn.network.node.sensor.MuleWSNNode;Node27;0;754563;44072;0;6677;7762516.666657;89 days 20:17:1
eboracum.wsn.network.node.sensor.MuleWSNNode;Node28;0;765112;36175;0;5171;8034819.99999;92 days 23:54:46
eboracum.wsn.network.node.sensor.MuleWSNNode;Node29;0;800687;93567;0;17041;5904749.999992;68 days 8:12:30
eboracum.wsn.network.node.sensor.MuleWSNNode;Node30;0;639711;142245;0;28050;3944349.999995;45 days 15:39:16
